gridcode,year,Mean Evaporation (m_per_year),Mean Potential Evaporation (m_per_year),Mean Snow Density (kg3_per_m3),Mean Snow Depth (m),"Mean Snow Depth, Snow Water Equiv (m_of_swe)",Mean Snowfall (m_per_year),Mean Snowmelt (m_per_year),Mean Temperature (deg_C),Mean Total Precip (m_per_year),q_mean
1030,1981,0.412916091869938,1268.9811346012352,172.10899534146805,0.17933507375545302,0.0414122510432766,117.6931345635916,118.86346189316004,0.2644239399959929,0.799654105663333,1.1688087509293397
1030,1982,0.360899425840514,1184.7098097247565,167.659694353162,0.238929754450434,0.0489216447111706,136.02465835180493,105.43739514803389,-2.141214097357988,0.717919662969218,0.6863646439921054
1030,1983,0.396680155140326,1239.3069478384025,170.050681209657,0.199147992721488,0.0425299176786977,102.1630070159996,88.16937565062591,-0.7330116843139649,0.655126201253037,0.7062472927623682
1030,1984,0.3783616402488379,1394.0826874385834,171.218508869004,0.22715826469799696,0.0452303019997922,123.045745829459,83.38671563107158,-1.2609413800849438,0.6096485406917861,0.5216782270403707
1030,1985,0.4155030615804671,1275.0674208021371,177.108814135053,0.281235059571524,0.0588907224495401,126.59137701515044,116.1133675324174,-2.003428219256989,0.7984417042262251,0.6518867218462412
1030,1986,0.42104461412553496,1211.4430212610132,175.48320184811402,0.214222644850445,0.0466903988030749,129.96149301114605,118.83193730440694,-0.1592571560139504,0.8240987984532091,0.8619689127549898
1030,1987,0.468855428028318,1400.0616582306104,161.81343496221902,0.130350780364334,0.0272400019474013,73.35997891994002,64.66161761990573,1.1306725578990608,0.691772709575725,0.7516776207859357
1030,1988,0.459484755042262,1445.4236635520426,158.050556590508,0.133825004770435,0.0254274836450992,100.28162773334556,76.55874881338227,0.21038345232801703,0.70631216186636,0.6059856673855887
1030,1989,0.4138026186963271,1264.3943121963405,167.963246889035,0.25560754542299,0.0503994534196874,123.54021480276114,93.94817357541427,-1.23469359945301,0.7044737492297,0.6910126513624714
1030,1990,0.40409726072552704,1241.7679916238262,178.855341965815,0.341406506932616,0.0746307022343524,157.38319963214624,117.92730940958248,-0.9181832895799288,0.9285173224622808,1.0779213324753147
1030,1991,0.413400388810526,1243.944424903454,193.001093597309,0.327019130568526,0.0812753916056832,99.8785918444816,112.01772704226488,-0.5021709367769631,0.722710197465215,1.0168578802284571
1030,1992,0.43225622338993297,1205.0785752089655,166.126338384922,0.161167680684595,0.0325626565459932,119.7935545705652,93.71944056661192,-0.10326854409498765,0.8848910413979789,0.839269459244643
1030,1993,0.407628845877355,1081.3215019603724,175.17378394669998,0.230307017100913,0.0473180360603491,110.65667323059178,100.91830274949646,-1.2897121413049604,0.8800860992794379,1.350654972748918
1030,1994,0.440936080900417,1296.3179092915682,164.95673045202298,0.217498558408093,0.0441258057554427,103.2700120054128,84.94619945461038,-0.20047515373698843,0.7014452669708771,0.8076618693114033
1030,1995,0.396071913306297,1139.9001822177174,173.491425440299,0.233585958305102,0.0507777615494338,129.78476989058538,102.65492418262605,-1.0242362995069811,0.9148315218074,1.2105902637374817
1030,1996,0.35713818802508795,1265.1508575760754,181.007899328772,0.35593769650741497,0.0778397361416604,152.08027584919532,126.19564122340886,-2.4209495699409445,0.7039140130938522,0.9398672031996838
1030,1997,0.383490662310691,1298.3209147516734,190.444493614603,0.299942887549997,0.0736084073963463,96.50015707932036,118.06874405101492,-0.21365692889196453,0.6396019879614959,0.7922279887863435
1030,1998,0.41987000829613297,1256.3792854184433,158.457412678281,0.16384109258053198,0.0315171999857578,106.30555116351606,74.71561838835188,0.38462480308902514,0.865538722796405,1.1554327248348588
1030,1999,0.406638468765589,1262.8854043111537,177.79132650795398,0.214655598305845,0.0478257773437301,117.61684536344131,106.636394540538,-0.17709367066998993,0.7519439839888349,0.80544046542859
1030,2000,0.419310905377623,1298.6069469052295,171.99906344964802,0.20042414573863104,0.0438878304133214,98.3390614437042,82.8040487930254,-1.080883600977984,0.645947825311156,0.59600626040216
1030,2001,0.407557754868992,1447.8749353742503,159.298019700697,0.154255563630888,0.0289298993673126,89.8581271428415,64.31250409986423,-0.2990230948299768,0.540403345600244,0.6366818202038367
1030,2002,0.35991968705066496,1222.8519102694315,177.044581229494,0.297161994201846,0.0638105447419076,164.43568981305054,141.0361109893949,-1.4083281574140187,0.817044826455494,NA
1030,2003,0.40364707395997496,1363.349478643419,169.46617925389901,0.23627450843374495,0.049769545405332,125.09724491433676,93.86275898021172,-0.11859405433796157,0.7017636754291071,0.7491082799122011
1030,2004,0.413641355245051,1136.3546203713229,181.524798575462,0.22888553704978895,0.0511265498371231,107.18803276771573,97.68853801947458,-0.30573773620199063,0.832709514066842,0.8844926284245127
1030,2005,0.4154390627867151,1212.955363360448,171.89548967765495,0.188265117228913,0.0398063716353738,116.5548834656066,108.021985417823,-0.6016091067799607,0.92948335355388,1.3651372501265364
1030,2006,0.437804530425106,1285.0051782820904,162.44258681446698,0.18907349885543104,0.0384993238593715,108.76567497154991,82.90157426920501,0.22992058364604873,0.752800517149097,0.8724157754048975
1030,2007,0.410402408377057,1264.7892468348512,171.360787695448,0.231366693390355,0.0523241471218063,132.34411023817674,122.62894621731805,-0.2582442234750033,0.7910794091060609,0.8482449520801968
1030,2008,0.3991457128912029,1255.0235926268726,164.21764670795602,0.217678703377298,0.0433237743543238,126.56669809260676,100.38764389644987,-1.115714306074949,0.812337135789127,1.1858736318048844
1030,2009,0.378795447375884,1265.2927884989538,179.15881502518997,0.29609323497278,0.0627905206609828,115.10051913933914,93.0352385254457,-1.5256228023619656,0.594161066837734,0.8627123566367075
